打率,試合,打席数,打数,安打,打点,四球,死球,三振,犠打,併殺打,出塁率,長打率,OPS,RC27,XR27
0.259,120,466,410,106,53,48,6,107,0,6,0.343,0.427,0.77,5.17,5.16
0.248,120,461,408,101,65,49,1,89,0,11,0.328,0.451,0.779,4.97,5.0
0.225,130,458,404,91,33,41,5,107,6,14,0.303,0.3,0.603,2.79,2.83
0.251,128,458,411,103,31,31,5,115,7,5,0.308,0.338,0.646,3.62,3.66
0.265,118,457,392,104,55,63,0,120,0,5,0.365,0.495,0.86,6.5,6.49
0.238,126,455,425,101,64,25,3,173,0,2,0.284,0.466,0.749,4.67,4.71
0.248,121,455,391,97,21,44,3,65,16,1,0.328,0.312,0.64,3.74,3.75
0.339,110,455,389,132,72,58,5,26,0,9,0.429,0.563,0.992,9.05,8.68
0.234,123,451,410,96,62,35,5,116,0,12,0.302,0.437,0.738,4.22,4.27
0.257,113,448,409,105,24,21,7,75,8,5,0.302,0.315,0.618,3.23,3.29
0.251,117,446,387,97,43,49,3,58,0,11,0.334,0.32,0.654,3.82,3.97
0.279,123,445,377,105,36,46,4,66,14,10,0.36,0.358,0.718,4.44,4.37
0.225,130,443,374,84,32,51,6,99,11,7,0.326,0.345,0.671,3.73,3.83
